word1,word2,gpt-4_response,gpt4_rating
take,remove,8,8
walk,trail,4,4
feed,starve,3,3
shine,polish,7,7
calculate,add,7,7
cheat,sneak,5,5
pardon,forgive,8,8
smell,sniff,7,7
plow,dig,7,7
believe,pretend,4,4
tap,pat,2,2
condemn,kill,4,4
crunch,crack,7,7
erode,destroy,8,8
try,practice,7,7
tear,fold,3,3
replace,move,4,4
respond,ignore,2,2
rationalize,argue,5,5
laugh,sing,4,4
attack,sneak,4,4
descend,go,5,5
decompose,dissolve,7,7
miss,catch,4,4
yell,accuse,3,3
feel,touch,8,8
connect,separate,2,2
decay,deteriorate,9,9
protect,defend,9,9
bake,broil,8,8
remove,detach,9,9
describe,define,7,7
drive,walk,5,5
build,grow,5,5
decay,decompose,9,9
cover,protect,7,7
dislike,ignore,3,3
forget,recall,4,4
comprehend,learn,7,7
reflect,look,5,5
defeat,beat,9,9
know,inform,5,5
remind,repeat,5,5
go,let,4,4
dislike,disown,3,3
go,advance,8,8
produce,reproduce,5,5
recommend,assist,5,5
shake,shiver,5,5
take,carry,7,7
accomplish,succeed,9,9
drive,operate,7,7
ask,tell,7,7
gather,reap,7,7
bend,break,5,5
tear,break,7,7
jump,skip,8,8
agree,admit,5,5
give,bring,7,7
go,move,8,8
kill,shoot,7,7
crunch,chew,7,7
carry,tow,7,7
sing,hum,7,7
dismay,upset,8,8
shun,ignore,8,8
believe,know,7,7
hurt,smash,4,4
prefer,hate,4,4
cook,bake,8,8
reprimand,yell,5,5
break,destroy,7,7
hit,slap,8,8
wrap,tie,7,7
upset,frustrate,7,7
show,preview,7,7
accuse,tell,4,4
hate,disown,4,4
pounce,bounce,4,4
respect,like,5,5
sell,purchase,8,8
put,take,5,5
charge,cover,3,3
melt,freeze,2,2
agree,differ,2,2
flap,fold,7,7
die,survive,2,2
pull,lift,5,5
hitch,ride,4,4
live,let,2,2
sow,plow,4,4
destroy,kill,7,7
obtain,get,9,9
buy,sell,7,7
deposit,put,5,5
rise,wake,5,5
pray,kneel,4,4
jump,climb,7,7
rescue,survive,5,5
succeed,overcome,7,7
look,examine,8,8
delay,pause,8,8
take,use,7,7
color,decorate,4,4
get,achieve,8,8
drink,intoxicate,4,4
die,deteriorate,5,5
treat,buy,4,4
dump,waste,8,8
learn,evaluate,4,4
know,meet,4,4
compete,finish,4,4
sing,rap,7,7
beat,kill,4,4
thaw,melt,8,8
kidnap,capture,8,8
gulp,slurp,8,8
walk,jog,8,8
think,presume,8,8
say,speak,9,9
tend,help,7,7
see,meet,4,4
preview,look,5,5
forget,decay,3,3
kick,punch,8,8
claim,take,5,5
sell,borrow,3,3
confuse,understand,2,2
want,crave,8,8
veer,look,2,2
persuade,discourage,3,3
arrive,depart,5,5
skip,miss,7,7
talk,describe,7,7
take,acquire,8,8
perform,entertain,7,7
wipe,wash,7,7
pray,hope,7,7
decline,lower,7,7
determine,understand,7,7
sting,prick,8,8
search,seek,9,9
disprove,dislike,3,3
pull,detach,7,7
disbelieve,believe,1,1
lean,fall,3,3
get,grab,8,8
control,hold,5,5
alter,change,9,9
kidnap,take,4,4
disturb,interrupt,8,8
seem,appear,9,9
repeat,do,5,5
compose,create,8,8
justify,prove,8,8
separate,combine,2,2
disintegrate,melt,7,7
have,hold,7,7
kill,live,1,1
descend,lower,8,8
disprove,agree,2,2
run,hurry,8,8
reap,gain,7,7
rub,hold,4,4
finish,start,3,3
pull,tow,7,7
swap,give,7,7
annoy,aggravate,9,9
deteriorate,disappear,4,4
hike,trail,4,4
compute,add,7,7
pull,strain,7,7
assault,hit,7,7
inhale,breathe,9,9
sneak,lie,5,5
brush,paint,4,4
want,get,4,4
create,imagine,7,7
travel,move,7,7
desire,need,7,7
rationalize,think,7,7
hide,deny,5,5
increase,raise,8,8
talk,criticize,5,5
determine,discover,7,7
think,realize,7,7
boom,crash,7,7
replace,fix,7,7
fall,dive,7,7
hold,reserve,7,7
implode,explode,8,8
sprain,strain,8,8
respond,speak,7,7
regret,forget,4,4
travel,go,7,7
flee,fight,3,3
soak,bleach,4,4
accept,allow,8,8
add,reduce,4,4
save,deposit,7,7
jump,dive,7,7
hurt,prick,4,4
hide,repress,7,7
bring,carry,8,8
get,ask,5,5
spin,turn,8,8
overflow,fill,5,5
offend,bother,7,7
break,replace,3,3
run,hide,4,4
start,begin,9,9
spoil,perish,7,7
weave,drive,3,3
prepare,cook,7,7
pretend,imitate,8,8
lose,forget,5,5
hunt,kill,5,5
let,allow,9,9
look,appear,8,8
tug,jerk,8,8
dive,swim,7,7
dance,sway,7,7
whisper,yell,4,4
salute,acknowledge,7,7
become,make,4,4
scare,surprise,7,7
sway,move,7,7
go,send,4,4
float,drift,8,8
move,shift,8,8
reprimand,correct,7,7
leave,evacuate,8,8
clench,hold,7,7
concentrate,wander,2,2
suppose,guess,8,8
split,leave,5,5
get,put,4,4
receive,send,5,5
begin,introduce,7,7
call,yell,7,7
cook,mix,5,5
ridicule,tease,8,8
associate,connect,7,7
entertain,enjoy,6,6
reply,respond,9,9
attack,beat,7,7
evict,throw,4,4
crackle,pop,7,7
sew,rip,4,4
call,respond,5,5
lose,find,3,3
reject,accept,2,2
run,evacuate,5,5
hurry,rush,9,9
defend,prosecute,4,4
convince,lie,3,3
lower,degrade,7,7
enjoy,relax,6,6
disintegrate,dissolve,8,8
introduce,show,5,5
want,yearn,8,8
remark,talk,6,6
float,drown,4,4
sit,lie,7,7
die,drown,4,4
combine,integrate,8,8
appear,see,4,4
smear,wipe,7,7
insult,offend,8,8
aggravate,irritate,9,9
flow,pour,7,7
play,swing,4,4
demand,need,7,7
drip,sink,4,4
confess,lie,4,4
remember,retain,8,8
sink,float,4,4
remind,think,5,5
tell,instruct,8,8
take,replace,4,4
destroy,demolish,9,9
fade,bleach,5,5
run,escape,7,7
abuse,neglect,7,7
take,choose,7,7
fly,launch,5,5
remember,recall,9,9
tell,talk,7,7
boil,fry,7,7
vacate,leave,9,9
keep,hold,7,7
testify,confess,7,7
delay,wait,8,8
yawn,stretch,5,5
make,compose,8,8
make,do,8,8
drink,vomit,2,2
grill,burn,4,4
grab,hold,8,8
smoke,cough,4,4
reappear,vanish,5,5
think,pause,4,4
help,participate,4,4
fight,kill,5,5
rise,lift,7,7
swap,change,8,8
crawl,climb,7,7
see,hear,5,5
win,fight,4,4
leap,fall,5,5
strike,blow,7,7
beat,hurt,7,7
go,flee,7,7
blend,mix,9,9
meet,attend,7,7
fall,rise,4,4
help,assist,9,9
climb,fall,4,4
burn,melt,7,7
borrow,beg,5,5
give,beg,3,3
let,release,7,7
increase,add,7,7
unload,carry,4,4
talk,debate,7,7
describe,write,7,7
hear,tell,5,5
doze,nap,9,9
stab,shoot,7,7
grasp,understand,8,8
destroy,repair,2,2
accept,deny,2,2
combine,join,8,8
join,gather,8,8
deny,reject,8,8
bend,turn,8,8
evict,move,4,4
tell,testify,8,8
define,mean,8,8
triumph,defeat,3,3
stop,whistle,2,2
die,crash,4,4
realize,discover,8,8
guess,try,7,7
rub,grate,5,5
drag,pull,8,8
spell,speak,4,4
remove,evict,7,7
win,award,7,7
hide,bury,6,6
gain,get,7,7
forgive,regret,4,4
hide,find,4,4
relax,stretch,4,4
see,squint,4,4
flee,escape,9,9
jerk,prick,8,8
wear,erode,4,4
waste,throw,4,4
bury,forget,5,5
frustrate,annoy,8,8
learn,teach,7,7
come,bring,7,7
wait,stay,7,7
burst,laugh,3,3
look,inspect,8,8
portray,play,5,5
lose,defeat,8,8
steal,rob,9,9
transplant,remove,4,4
speak,listen,4,4
think,compute,5,5
punish,deny,4,4
solve,compute,7,7
organize,prepare,7,7
overflow,spill,8,8
disperse,spread,8,8
ask,suggest,7,7
walk,talk,3,3
toast,burn,3,3
haunt,scare,7,7
drink,gulp,7,7
protect,help,7,7
admit,give,3,3
stay,come,5,5
win,finish,5,5
condemn,hate,5,5
lean,sway,5,5
kill,annihilate,9,9
want,hope,7,7
slide,show,4,4
scream,squeal,8,8
join,integrate,8,8
permit,deny,4,4
choke,swallow,5,5
smell,perspire,2,2
keep,snatch,3,3
engage,go,4,4
sprinkle,pour,7,7
save,restore,7,7
do,perform,8,8
develop,create,8,8
supply,give,7,7
get,have,5,5
look,observe,8,8
earn,gain,8,8
dunk,drown,5,5
seize,control,7,7
ponder,reflect,8,8
rap,speak,4,4
change,replace,7,7
prohibit,stop,8,8
build,destroy,3,3
choose,elect,8,8
survive,struggle,5,5
crash,wreck,8,8
release,go,4,4
decrease,lower,9,9
leave,escape,7,7
regret,worry,5,5
hold,hug,7,7
push,urge,7,7
run,charge,5,5
drift,move,7,7
mow,plow,5,5
rinse,wash,8,8
make,develop,7,7
visit,travel,7,7
receive,give,5,5
print,press,7,7
dismiss,go,5,5
express,tell,7,7
break,connect,2,2
veer,move,7,7
fade,perish,4,4
glance,stare,7,7
hate,respect,2,2
doubt,disbelieve,8,8
persuade,ask,5,5
beat,mistreat,7,7
lie,deceive,8,8
scribble,draw,8,8
grab,release,2,2
comfort,relax,7,7
sweat,shiver,4,4
exist,die,3,3
strive,try,9,9
perceive,understand,7,7
squeeze,crush,8,8
solve,find,7,7
show,dance,4,4
entertain,sing,6,6
stretch,pull,7,7
adjourn,finish,7,7
think,determine,7,7
soothe,console,8,8
disturb,awake,4,4
finish,diminish,4,4
talk,pray,4,4
stop,hamper,5,5
leap,hop,8,8
tear,demolish,5,5
blow,pop,7,7
accept,refuse,2,2
return,recall,7,7
teach,educate,9,9
believe,accept,7,7
attack,kill,7,7
save,reserve,7,7
inspect,find,6,6
demolish,wreck,9,9
tell,suggest,7,7
gamble,win,4,4
reflect,see,6,6
split,crack,8,8
gain,learn,5,5
understand,comprehend,9,9
console,help,5,5
pay,buy,7,7
deliver,take,5,5
comprehend,perceive,7,7
sneak,slither,4,4
restore,repair,8,8
buy,purchase,10,10
make,reproduce,7,7
punish,forbid,5,5
watch,examine,7,7
perspire,sweat,10,10
judge,condemn,5,5
move,stay,2,2
nag,complain,8,8
listen,learn,7,7
retreat,hide,7,7
remove,add,3,3
assume,presume,9,9
acknowledge,admit,8,8
reject,dislike,7,7
obey,command,5,5
win,play,4,4
stain,smudge,8,8
remember,realize,5,5
assault,attack,9,9
tumble,fall,8,8
drink,lounge,2,2
abuse,hurt,7,7
fight,tackle,7,7
disturb,upset,8,8
push,shun,2,2
help,criticize,3,3
permit,disallow,4,4
meet,swap,3,3
please,beg,7,7
renounce,defeat,4,4
participate,engage,8,8
snap,break,7,7
boom,explode,8,8
get,replace,3,3
toss,turn,5,5
laugh,embarrass,3,3
save,rescue,8,8
upset,hurt,7,7
appear,vanish,4,4
smell,offend,2,2
help,lend,5,5
move,avoid,4,4
talk,communicate,9,9
disturb,irritate,7,7
diminish,disappear,7,7
betray,lie,6,6
slurp,suck,7,7
stop,go,2,2
look,glance,8,8
hit,abuse,7,7
destroy,construct,3,3
reject,hurt,4,4
hike,walk,8,8
show,express,7,7
humiliate,embarrass,8,8
choke,cough,7,7
tickle,tease,7,7
compute,analyze,7,7
ride,drive,7,7
greet,salute,8,8
prosecute,judge,4,4
perform,dance,7,7
invent,create,8,8
squeak,crack,4,4
avoid,deny,4,4
divide,unite,2,2
spank,scold,7,7
call,collect,4,4
sip,gulp,7,7
crave,need,7,7
cover,bury,7,7
hurt,offend,7,7
win,compete,5,5
hit,beat,8,8
change,spare,3,3
tickle,giggle,6,6
bother,affect,7,7
haul,pull,8,8
go,start,7,7
disprove,prove,7,7
draw,attract,7,7
sit,rise,4,4
protect,watch,5,5
achieve,accomplish,9,9
taste,acquire,2,2
read,write,7,7
shake,dance,5,5
degrade,embarrass,5,5
attempt,try,9,9
pray,bless,6,6
polish,tarnish,4,4
mimic,tease,4,4
save,drown,2,2
grind,smash,7,7
need,depend,7,7
yearn,learn,2,2
defend,help,6,6
bake,fry,7,7
snuggle,hug,8,8
compute,understand,5,5
tear,wear,2,2
plead,please,4,4
neglect,leave,4,4
unload,dump,7,7
watch,see,7,7
slay,kill,9,9
originate,begin,9,9
avoid,hide,6,6
show,perform,8,8
prosper,grow,7,7
become,arrive,4,4
transplant,exchange,4,4
strike,hit,8,8
talk,argue,7,7
kill,poach,5,5
tell,squeal,5,5
please,request,7,7
lose,subtract,5,5
admit,tell,7,7
go,stay,3,3
concentrate,think,7,7
save,help,7,7
disintegrate,decay,8,8
delay,stop,5,5
add,multiply,7,7
give,return,5,5
slide,fall,5,5
blow,whistle,4,4
portray,show,7,7
attend,appear,5,5
insult,criticize,7,7
allow,deny,3,3
