word,gpt-4_response,gpt4_rating
aardvark,3,3.0
aback,2,2.0
abandon,3,3.0
abandoned,3,3.0
abase,2,2.0
abash,2,2.0
abate,2,2.0
abbey,2,2.0
abdomen,3,3.0
abdominal,2,2.0
abduct,4,4.0
abduction,3,3.0
abide,3,3.0
abiding,3,3.0
ability,2,2.0
abject,2,2.0
able,2,2.0
ably,2,2.0
abnormal,3,3.0
abnormality,3,3.0
aboard,3,3.0
abode,3,3.0
abolish,2,2.0
abolition,2,2.0
abominable,4,4.0
abominate,2,2.0
abomination,4,4.0
abort,3,3.0
abortion,2,2.0
abound,3,3.0
about,2,2.0
above,3,3.0
abrasion,4,4.0
abrasive,4,4.0
abridge,3,3.0
abroad,2,2.0
abrupt,4,4.0
abscess,4,4.0
absence,2,2.0
absent,2,2.0
absently,3,3.0
absinthe,2 (slightly iconic),2.0
absolute,3,3.0
absolutely,2,2.0
absolution,2,2.0
absolutism,2,2.0
absolve,2,2.0
absorb,4,4.0
absorbent,4,4.0
abstinence,2,2.0
abstract,2,2.0
abstracted,2,2.0
abstraction,2,2.0
abstractionism,2,2.0
abstractive,3,3.0
absurd,4,4.0
absurdity,3,3.0
abundance,3,3.0
abundant,3,3.0
abuse,3,3.0
abusive,3,3.0
abut,2,2.0
abysmal,4,4.0
abyss,4,4.0
academic,2,2.0
academy,2,2.0
accelerate,4,4.0
accent,3,3.0
accept,2,2.0
acceptable,2,2.0
acceptance,3,3.0
access,2,2.0
accessible,3,3.0
accessory,2,2.0
accident,3,3.0
accidental,3,3.0
acclaim,3,3.0
acclimate,2,2.0
accommodate,2,2.0
accommodating,3,3.0
accommodation,2,2.0
accommodative,2,2.0
accompany,3,3.0
accomplice,2,2.0
accomplish,3,3.0
accomplished,3,3.0
accomplishment,3,3.0
accord,3,3.0
accordance,2,2.0
accordant,3,3.0
according,2,2.0
accordingly,2,2.0
accordion,4,4.0
accordionist,2,2.0
account,2,2.0
accountability,2,2.0
accountable,2,2.0
accountancy,2,2.0
accountant,2,2.0
accounting,2,2.0
accrue,2,2.0
accumulate,3,3.0
accuracy,3,3.0
accurate,2,2.0
accursed,4,4.0
accusation,3,3.0
accusative,2,2.0
accuse,3,3.0
accused,3,3.0
accustom,3,3.0
ace,3,3.0
acetify,2,2.0
ache,5,5.0
achieve,2,2.0
achievement,3,3.0
aching,5,5.0
achy,5,5.0
acid,4,4.0
acidic,4,4.0
acidify,4,4.0
acidity,4,4.0
acknowledge,2,2.0
acknowledged,2,2.0
acknowledgment,2,2.0
acne,2,2.0
acorn,4,4.0
acoustic,3,3.0
acoustics,3,3.0
acquaint,2,2.0
acquaintance,2,2.0
acquire,2,2.0
acquisitive,2,2.0
acquit,2,2.0
acre,2,2.0
acrid,4,4.0
acrobat,4,4.0
acrobatic,4,4.0
acrobatics,4,4.0
acronym,2,2.0
across,4,4.0
acrylic,2,2.0
act,3,3.0
acting,4,4.0
action,4,4.0
active,4,4.0
activism,2,2.0
activist,3,3.0
activity,3,3.0
actor,3,3.0
actress,2,2.0
actual,2,2.0
actuality,2,2.0
actualization,2,2.0
actualize,3,3.0
actually,2,2.0
acupuncture,3,3.0
acupuncturist,2,2.0
acute,3,3.0
ad,2,2.0
adage,2,2.0
adamant,3,3.0
adapt,3,3.0
adaptable,3,3.0
adaptation,3,3.0
adapter,3,3.0
add,3,3.0
addict,3,3.0
addicted,3,3.0
addiction,3,3.0
addictive,3,3.0
addition,2,2.0
additive,3,3.0
address,2,2.0
adept,3,3.0
adequacy,2,2.0
adequate,2,2.0
adhere,3,3.0
adherence,2,2.0
adhesive,4,4.0
adjective,2,2.0
adjoin,3,3.0
adjust,3,3.0
adjustable,3,3.0
adjustment,2,2.0
administer,2,2.0
administrable,2,2.0
administration,2,2.0
admirable,2,2.0
admiral,2,2.0
admiration,3,3.0
admire,2,2.0
admiring,3,3.0
admissible,2,2.0
admission,2,2.0
admit,2,2.0
admittance,2,2.0
admittedly,2,2.0
admonish,3,3.0
adolescence,3,3.0
adolescent,3,3.0
adopt,2,2.0
adoptable,2,2.0
adoption,2,2.0
adoptive,2,2.0
