word,sentence,Hearing,Interoception,Olfaction,Taste,Touch,Vision
act,It was a comedic act.,4,1,0,0,1,4
act,It was a desperate act.,2,1,0,0,1,2
act,It was a humane act.,2,2,0,0,1,2
act,It was a magic act.,4,1,0,0,1,4
appeal,He had a legal appeal.,1,1,0,0,0,1
appeal,He had a pending appeal.,1,1,0,0,0,1
appeal,He had a universal appeal.,1,1,0,0,0,1
appeal,He had an undefinable appeal.,1,1,0,0,0,1
atmosphere,It was a gaseous atmosphere.,1,1,3,1,2,2
atmosphere,It was a hostile atmosphere.,2,1,1,0,2,2
atmosphere,It was a polluted atmosphere.,1,1,3,1,1,2
atmosphere,It was a tense atmosphere.,2,2,1,0,1,2
bail,He bailed out the defendant.,2,0,0,0,1,2
bail,He bailed out the liquid.,2,0,1,0,3,3
bail,He bailed out the prisoner.,2,1,0,0,1,2
bail,He bailed out the water.,3,1,0,0,3,3
band,It was a country band.,4,1,0,0,1,4
band,It was a gold band.,1,0,1,0,3,4
band,It was a jazz band.,4,1,0,0,1,4
band,It was a rubber band.,2,1,2,1,4,3
bank,He banked the cash.,2,0,0,0,1,2
bank,He banked the helicopter.,4,1,0,0,1,3
bank,He banked the money.,2,0,0,0,1,2
bank,He banked the plane.,3,1,0,0,1,3
barrier,There was a concrete barrier.,2,0,1,0,3,4
barrier,There was a language barrier.,1,1,0,0,2,2
barrier,There was a police barrier.,2,0,0,0,2,3
barrier,There was a religious barrier.,1,0,0,0,2,2
bat,He saw a baseball bat.,2,0,1,0,3,4
bat,He saw a fruit bat.,2,0,1,1,2,4
bat,He saw a furry bat.,2,0,1,0,4,4
bat,He saw a wooden bat.,2,0,1,0,3,4
beam,He saw the balance beam.,1,0,0,0,3,4
beam,He saw the bright beam.,0,0,0,0,1,4
beam,He saw the laser beam.,1,0,0,0,1,4
beam,He saw the wood beam.,1,0,1,0,3,4
block,She had a mental block.,0,0,0,0,1,1
block,She had a toy block.,2,0,1,0,3,4
block,She had a wooden block.,1,0,1,0,3,4
block,She had a writer's block.,0,0,0,0,1,1
blood,He has coagulated blood.,1,2,3,2,2,4
blood,He has noble blood.,1,2,2,2,3,2
blood,He has royal blood.,1,2,2,1,2,2
blood,He has thin blood.,2,3,2,2,2,3
board,It was the executive board.,2,0,0,0,1,2
board,It was the ironing board.,1,0,1,0,3,3
board,It was the school board.,2,0,1,0,1,2
board,It was the wooden board.,2,0,2,0,4,4
book,He had a best-selling book.,1,0,1,0,4,3
book,He had a heavy book.,1,0,1,0,3,4
book,He had a leather-bound book.,1,0,2,0,4,4
