sentence1,sentence2,gpt-3.5-turbo_response,gpt3.5-turbo_rating
It was a desperate act.,It was a magic act.,3.0,3.0
It was a desperate act.,It was a comedic act.,4.0,4.0
It was a humane act.,It was a magic act.,2.0,2.0
It was a humane act.,It was a comedic act.,3.0,3.0
It was a desperate act.,It was a humane act.,4.0,4.0
It was a magic act.,It was a comedic act.,4.0,4.0
He had a universal appeal.,He had a legal appeal.,2.0,2.0
He had a universal appeal.,He had a pending appeal.,2.0,2.0
He had an undefinable appeal.,He had a legal appeal.,1.0,1.0
He had an undefinable appeal.,He had a pending appeal.,1.0,1.0
He had a universal appeal.,He had an undefinable appeal.,4.0,4.0
He had a legal appeal.,He had a pending appeal.,4.0,4.0
It was a tense atmosphere.,It was a gaseous atmosphere.,2.0,2.0
It was a tense atmosphere.,It was a polluted atmosphere.,2.0,2.0
It was a hostile atmosphere.,It was a gaseous atmosphere.,2.0,2.0
It was a hostile atmosphere.,It was a polluted atmosphere.,3.0,3.0
It was a tense atmosphere.,It was a hostile atmosphere.,4.0,4.0
It was a gaseous atmosphere.,It was a polluted atmosphere.,4.0,4.0
He bailed out the prisoner.,He bailed out the water.,1.0,1.0
He bailed out the prisoner.,He bailed out the liquid.,2.0,2.0
He bailed out the defendant.,He bailed out the water.,1.0,1.0
He bailed out the defendant.,He bailed out the liquid.,2.0,2.0
He bailed out the prisoner.,He bailed out the defendant.,4.0,4.0
He bailed out the water.,He bailed out the liquid.,4.0,4.0
It was a gold band.,It was a jazz band.,1.0,1.0
It was a gold band.,It was a country band.,1.0,1.0
It was a rubber band.,It was a jazz band.,1.0,1.0
It was a rubber band.,It was a country band.,1.0,1.0
It was a gold band.,It was a rubber band.,1.0,1.0
It was a jazz band.,It was a country band.,4.0,4.0
He banked the plane.,He banked the money.,1.0,1.0
He banked the plane.,He banked the cash.,1.0,1.0
He banked the helicopter.,He banked the money.,1.0,1.0
He banked the helicopter.,He banked the cash.,1.0,1.0
He banked the plane.,He banked the helicopter.,4.0,4.0
He banked the money.,He banked the cash.,4.0,4.0
There was a police barrier.,There was a language barrier.,3.0,3.0
There was a police barrier.,There was a religious barrier.,3.0,3.0
There was a concrete barrier.,There was a language barrier.,2.0,2.0
There was a concrete barrier.,There was a religious barrier.,2.0,2.0
There was a police barrier.,There was a concrete barrier.,4.0,4.0
There was a language barrier.,There was a religious barrier.,4.0,4.0
He saw a furry bat.,He saw a wooden bat.,1.0,1.0
He saw a furry bat.,He saw a baseball bat.,1.0,1.0
He saw a fruit bat.,He saw a wooden bat.,1.0,1.0
He saw a fruit bat.,He saw a baseball bat.,1.0,1.0
He saw a furry bat.,He saw a fruit bat.,4.0,4.0
He saw a wooden bat.,He saw a baseball bat.,4.0,4.0
He saw the laser beam.,He saw the wood beam.,2.0,2.0
He saw the laser beam.,He saw the balance beam.,1.0,1.0
He saw the bright beam.,He saw the wood beam.,2.0,2.0
He saw the bright beam.,He saw the balance beam.,1.0,1.0
He saw the laser beam.,He saw the bright beam.,4.0,4.0
He saw the wood beam.,He saw the balance beam.,2.0,2.0
She had a toy block.,She had a mental block.,2.0,2.0
She had a toy block.,She had a writer's block.,1.0,1.0
She had a wooden block.,She had a mental block.,2.0,2.0
She had a wooden block.,She had a writer's block.,1.0,1.0
She had a toy block.,She had a wooden block.,4.0,4.0
She had a mental block.,She had a writer's block.,4.0,4.0
He has coagulated blood.,He has noble blood.,2.0,2.0
He has coagulated blood.,He has royal blood.,1.0,1.0
He has thin blood.,He has noble blood.,2.0,2.0
He has thin blood.,He has royal blood.,2.0,2.0
He has coagulated blood.,He has thin blood.,4.0,4.0
He has noble blood.,He has royal blood.,4.0,4.0
It was the ironing board.,It was the executive board.,1.0,1.0
It was the ironing board.,It was the school board.,1.0,1.0
It was the wooden board.,It was the executive board.,1.0,1.0
It was the wooden board.,It was the school board.,1.0,1.0
It was the ironing board.,It was the wooden board.,3.0,3.0
It was the executive board.,It was the school board.,4.0,4.0
He had a best-selling book.,He had a heavy book.,4.0,4.0
He had a best-selling book.,He had a leather-bound book.,4.0,4.0
He had a popular book.,He had a heavy book.,4.0,4.0
He had a popular book.,He had a leather-bound book.,4.0,4.0
He had a best-selling book.,He had a popular book.,4.0,4.0
He had a heavy book.,He had a leather-bound book.,4.0,4.0
He broke the glass.,He broke the law.,2.0,2.0
He broke the glass.,He broke the promise.,2.0,2.0
He broke the dish.,He broke the law.,2.0,2.0
He broke the dish.,He broke the promise.,3.0,3.0
He broke the glass.,He broke the dish.,4.0,4.0
He broke the law.,He broke the promise.,3.0,3.0
They ate a pancake breakfast.,They ate a family breakfast.,4.0,4.0
They ate a pancake breakfast.,They ate a lonely breakfast.,4.0,4.0
They ate a nutritious breakfast.,They ate a family breakfast.,4.0,4.0
They ate a nutritious breakfast.,They ate a lonely breakfast.,4.0,4.0
They ate a pancake breakfast.,They ate a nutritious breakfast.,4.0,4.0
They ate a family breakfast.,They ate a lonely breakfast.,4.0,4.0
They called the landlord.,They called the loan.,4.0,4.0
They called the landlord.,They called the debt.,2.0,2.0
They called the police.,They called the loan.,3.0,3.0
They called the police.,They called the debt.,2.0,2.0
They called the landlord.,They called the police.,4.0,4.0
They called the loan.,They called the debt.,4.0,4.0
It was a red cape.,It was a rocky cape.,3.0,3.0
It was a red cape.,It was an island cape.,1.0,1.0
It was a flowing cape.,It was a rocky cape.,3.0,3.0
It was a flowing cape.,It was an island cape.,2.0,2.0
It was a red cape.,It was a flowing cape.,4.0,4.0
It was a rocky cape.,It was an island cape.,4.0,4.0
It was a beer case.,It was a divorce case.,1.0,1.0
It was a beer case.,It was a criminal case.,0.0,0.0
It was a display case.,It was a divorce case.,1.0,1.0
It was a display case.,It was a criminal case.,1.0,1.0
It was a beer case.,It was a display case.,2.0,2.0
It was a divorce case.,It was a criminal case.,4.0,4.0
She cast a shadow.,She cast a spear.,2.0,2.0
She cast a shadow.,She cast a stone.,3.0,3.0
She cast a glow.,She cast a spear.,2.0,2.0
She cast a glow.,She cast a stone.,2.0,2.0
She cast a shadow.,She cast a glow.,4.0,4.0
She cast a spear.,She cast a stone.,4.0,4.0
It was a worthy cause.,It was a main cause.,4.0,4.0
It was a worthy cause.,It was a primary cause.,4.0,4.0
It was a political cause.,It was a main cause.,4.0,4.0
It was a political cause.,It was a primary cause.,4.0,4.0
It was a worthy cause.,It was a political cause.,4.0,4.0
It was a main cause.,It was a primary cause.,4.0,4.0
It was a skin cell.,It was a prison cell.,0.0,0.0
It was a skin cell.,It was a jail cell.,1.0,1.0
It was a brain cell.,It was a prison cell.,1.0,1.0
It was a brain cell.,It was a jail cell.,1.0,1.0
It was a skin cell.,It was a brain cell.,4.0,4.0
It was a prison cell.,It was a jail cell.,4.0,4.0
She had a devilish charm.,She had a gold charm.,2.0,2.0
She had a devilish charm.,She had a good-luck charm.,2.0,2.0
She had a natural charm.,She had a gold charm.,2.0,2.0
She had a natural charm.,She had a good-luck charm.,2.0,2.0
She had a devilish charm.,She had a natural charm.,4.0,4.0
She had a gold charm.,She had a good-luck charm.,4.0,4.0
He checked the engine.,He checked the alibi.,3.0,3.0
He checked the engine.,He checked the facts.,4.0,4.0
He checked the oven.,He checked the alibi.,4.0,4.0
He checked the oven.,He checked the facts.,4.0,4.0
He checked the engine.,He checked the oven.,4.0,4.0
He checked the alibi.,He checked the facts.,4.0,4.0
They liked the juicy chicken.,They liked the clucking chicken.,4.0,4.0
They liked the juicy chicken.,They liked the pet chicken.,3.0,3.0
They liked the roasted chicken.,They liked the clucking chicken.,3.0,3.0
They liked the roasted chicken.,They liked the pet chicken.,3.0,3.0
They liked the juicy chicken.,They liked the roasted chicken.,4.0,4.0
They liked the clucking chicken.,They liked the pet chicken.,4.0,4.0
It was a perceptive class.,It was a boring class.,4.0,4.0
It was a perceptive class.,It was a stimulating class.,4.0,4.0
It was a misbehaving class.,It was a boring class.,4.0,4.0
It was a misbehaving class.,It was a stimulating class.,4.0,4.0
It was a perceptive class.,It was a misbehaving class.,4.0,4.0
It was a boring class.,It was a stimulating class.,4.0,4.0
He cleared the desk.,He cleared the path.,4.0,4.0
He cleared the desk.,He cleared the road.,3.0,3.0
He cleared the shelf.,He cleared the path.,4.0,4.0
He cleared the shelf.,He cleared the road.,4.0,4.0
He cleared the desk.,He cleared the shelf.,4.0,4.0
He cleared the path.,He cleared the road.,4.0,4.0
It was a film clip.,It was a hair clip.,0.0,0.0
It was a film clip.,It was a metal clip.,1.0,1.0
It was a video clip.,It was a hair clip.,1.0,1.0
It was a video clip.,It was a metal clip.,1.0,1.0
It was a film clip.,It was a video clip.,4.0,4.0
It was a hair clip.,It was a metal clip.,4.0,4.0
The dancer clogged.,The pipe clogged.,1.0,1.0
The dancer clogged.,The sink clogged.,1.0,1.0
The choreographer clogged.,The pipe clogged.,1.0,1.0
The choreographer clogged.,The sink clogged.,1.0,1.0
The dancer clogged.,The choreographer clogged.,4.0,4.0
The pipe clogged.,The sink clogged.,4.0,4.0
It was an icy cold.,It was a chest cold.,2.0,2.0
It was an icy cold.,It was a common cold.,1.0,1.0
It was a freezing cold.,It was a chest cold.,2.0,2.0
It was a freezing cold.,It was a common cold.,1.0,1.0
It was an icy cold.,It was a freezing cold.,4.0,4.0
It was a chest cold.,It was a common cold.,4.0,4.0
It was a gossip column.,It was a concrete column.,1.0,1.0
It was a gossip column.,It was a marble column.,1.0,1.0
It was a sports column.,It was a concrete column.,1.0,1.0
It was a sports column.,It was a marble column.,1.0,1.0
It was a gossip column.,It was a sports column.,4.0,4.0
It was a concrete column.,It was a marble column.,4.0,4.0
He liked the investment company.,He liked the pleasant company.,2.0,2.0
He liked the investment company.,He liked the polite company.,2.0,2.0
He liked the pharmaceutical company.,He liked the pleasant company.,2.0,2.0
He liked the pharmaceutical company.,He liked the polite company.,2.0,2.0
He liked the investment company.,He liked the pharmaceutical company.,4.0,4.0
He liked the pleasant company.,He liked the polite company.,4.0,4.0
It was a waffle cone.,It was an orange cone.,2.0,2.0
It was a waffle cone.,It was a traffic cone.,1.0,1.0
It was a sugar cone.,It was an orange cone.,2.0,2.0
It was a sugar cone.,It was a traffic cone.,1.0,1.0
It was a waffle cone.,It was a sugar cone.,4.0,4.0
It was an orange cone.,It was a traffic cone.,4.0,4.0
He made a charitable contribution.,He made a scholarly contribution.,3.0,3.0
He made a charitable contribution.,He made a well-written contribution.,3.0,3.0
He made a voluntary contribution.,He made a scholarly contribution.,3.0,3.0
He made a voluntary contribution.,He made a well-written contribution.,4.0,4.0
He made a charitable contribution.,He made a voluntary contribution.,4.0,4.0
He made a scholarly contribution.,He made a well-written contribution.,4.0,4.0
That was the noble count.,That was the final count.,1.0,1.0
That was the noble count.,That was the correct count.,2.0,2.0
That was the vengeful count.,That was the final count.,1.0,1.0
That was the vengeful count.,That was the correct count.,1.0,1.0
That was the noble count.,That was the vengeful count.,4.0,4.0
That was the final count.,That was the correct count.,4.0,4.0
It was an introductory course.,It was a charted course.,2.0,2.0
It was an introductory course.,It was a collision course.,2.0,2.0
It was a pass-fail course.,It was a charted course.,2.0,2.0
It was a pass-fail course.,It was a collision course.,2.0,2.0
It was an introductory course.,It was a pass-fail course.,4.0,4.0
It was a charted course.,It was a collision course.,4.0,4.0
He crossed a road.,He crossed an enemy.,3.0,3.0
He crossed a road.,He crossed a friend.,3.0,3.0
He crossed a room.,He crossed an enemy.,3.0,3.0
He crossed a room.,He crossed a friend.,3.0,3.0
He crossed a road.,He crossed a room.,4.0,4.0
He crossed an enemy.,He crossed a friend.,4.0,4.0
It was a dinner date.,It was an expiration date.,1.0,1.0
It was a dinner date.,It was a historical date.,1.0,1.0
It was a blind date.,It was an expiration date.,1.0,1.0
It was a blind date.,It was a historical date.,1.0,1.0
It was a dinner date.,It was a blind date.,4.0,4.0
It was an expiration date.,It was a historical date.,2.0,2.0
It was about forty degrees.,It was about associate degrees.,1.0,1.0
It was about forty degrees.,It was about college degrees.,1.0,1.0
It was about fifty degrees.,It was about associate degrees.,2.0,2.0
It was about fifty degrees.,It was about college degrees.,1.0,1.0
It was about forty degrees.,It was about fifty degrees.,4.0,4.0
It was about associate degrees.,It was about college degrees.,4.0,4.0
They liked the floral design.,They liked the product design.,3.0,3.0
They liked the floral design.,They liked the architectural design.,4.0,4.0
They liked the geometric design.,They liked the product design.,3.5,3.5
They liked the geometric design.,They liked the architectural design.,4.0,4.0
They liked the floral design.,They liked the geometric design.,4.0,4.0
They liked the product design.,They liked the architectural design.,4.0,4.0
They liked the turkey dinner.,They liked the formal dinner.,4.0,4.0
They liked the turkey dinner.,They liked the anniversary dinner.,4.0,4.0
They liked the light dinner.,They liked the formal dinner.,4.0,4.0
They liked the light dinner.,They liked the anniversary dinner.,4.0,4.0
They liked the turkey dinner.,They liked the light dinner.,4.0,4.0
They liked the formal dinner.,They liked the anniversary dinner.,4.0,4.0
They drained the account.,They drained the pool.,3.0,3.0
They drained the account.,They drained the pond.,3.0,3.0
They drained the budget.,They drained the pool.,2.0,2.0
They drained the budget.,They drained the pond.,2.0,2.0
They drained the account.,They drained the budget.,4.0,4.0
They drained the pool.,They drained the pond.,4.0,4.0
He drew a gun.,He drew a tree.,3.0,3.0
He drew a gun.,They drew a picture.,2.0,2.0
He drew a sword.,He drew a tree.,2.0,2.0
He drew a sword.,They drew a picture.,2.0,2.0
He drew a gun.,He drew a sword.,4.0,4.0
He drew a tree.,They drew a picture.,4.0,4.0
He had a recurring dream.,He had a childhood dream.,4.0,4.0
He had a recurring dream.,He had a career dream.,3.0,3.0
He had a bad dream.,He had a childhood dream.,3.0,3.0
He had a bad dream.,He had a career dream.,3.0,3.0
He had a recurring dream.,He had a bad dream.,4.0,4.0
He had a childhood dream.,He had a career dream.,4.0,4.0
