word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2,gpt-4_response,gpt4_rating,sm_human,sm_gpt
act,It was a desperate act.,It was a magic act.,False,Polysemy,desperate,magic,M1_a_M2_a,N,2.181818182,2.0,0.181818182,11,1.328019715,0.204110265,0.034093499,0.40041301,M1_a,M2_a,2,2,0.03677180631870969,0.07623956929659881
act,It was a desperate act.,It was a comedic act.,False,Polysemy,desperate,comedic,M1_a_M2_b,N,2.0,2.0,0.0,7,1.290994449,0.215615511,0.045926571,0.487950036,M1_a,M2_b,2,2,0.09845889324508328,0.05675778171620138
act,It was a humane act.,It was a magic act.,False,Polysemy,humane,magic,M1_b_M2_a,N,2.818181818,3.0,0.181818182,11,0.981649817,0.191488087,0.042350948,0.295978556,M1_b,M2_a,2,2,0.08040073943317316,0.11247968603963343
act,It was a humane act.,It was a comedic act.,False,Polysemy,humane,comedic,M1_b_M2_b,N,2.80952381,3.0,0.19047619,21,0.92838826,0.225271583,0.05770725,0.202590927,M1_b,M2_b,2,2,0.12453616740052076,0.093762189971202
act,It was a desperate act.,It was a humane act.,True,Polysemy,desperate,humane,M1_a_M1_b,N,3.9,4.0,0.1,10,0.316227766,0.167989969,0.041440308,0.1,M1_a,M1_b,3,3,0.01696923789746352,0.03923107716947716
act,It was a magic act.,It was a comedic act.,True,Polysemy,magic,comedic,M2_a_M2_b,N,3.764705882,4.0,0.235294118,17,0.437237316,0.162387192,0.035784066,0.106045626,M2_a,M2_b,3,3,0.042969789635830646,0.029655407882859364
appeal,He had a universal appeal.,He had a legal appeal.,False,Polysemy,universal,legal,M1_a_M2_a,N,1.571428571,1.0,0.571428571,14,1.741541568,0.370739162,0.108166337,0.465446562,M1_a,M2_a,2,2,0.11672246397957531,0.07417990022744858
appeal,He had a universal appeal.,He had a pending appeal.,False,Polysemy,universal,pending,M1_a_M2_b,N,1.0,0.0,1.0,18,1.328422328,0.430851221,0.150558531,0.313112146,M1_a,M2_b,2,2,0.04322639523230942,0.15484574527148331
appeal,He had an undefinable appeal.,He had a legal appeal.,False,Polysemy,undefinable,legal,M1_b_M2_a,N,1.235294118,1.0,0.235294118,17,1.200490096,0.398581862,0.13264215,0.291161616,M1_b,M2_a,2,2,0.1028327777123661,0.16666666666666663
appeal,He had an undefinable appeal.,He had a pending appeal.,False,Polysemy,undefinable,pending,M1_b_M2_b,N,0.714285714,0.0,0.714285714,7,1.253566341,0.4461236,0.182452857,0.473803541,M1_b,M2_b,2,2,0.05911404018414468,0.0871290708247231
appeal,He had a universal appeal.,He had an undefinable appeal.,True,Polysemy,universal,undefinable,M1_a_M1_b,N,3.7,4.0,0.3,10,0.483045892,0.120313466,0.045355678,0.152752523,M1_a,M1_b,4,4,0.09154644863426775,0.07417990022744858
appeal,He had a legal appeal.,He had a pending appeal.,True,Polysemy,legal,pending,M2_a_M2_b,N,3.272727273,4.0,0.727272727,11,0.904534034,0.098901391,0.060672343,0.272727273,M2_a,M2_b,4,4,0.048371838372434084,0.0871290708247231
atmosphere,It was a tense atmosphere.,It was a gaseous atmosphere.,False,Polysemy,tense,gaseous,M1_a_M2_a,N,1.214285714,1.0,0.214285714,14,1.050902281,0.352736831,0.102721155,0.280865449,M1_a,M2_a,2,2,0.1378231003976046,0.20650795238412778
atmosphere,It was a tense atmosphere.,It was a polluted atmosphere.,False,Polysemy,tense,polluted,M1_a_M2_b,N,1.846153846,2.0,0.153846154,13,1.28102523,0.256296635,0.068193078,0.355292473,M1_a,M2_b,2,2,0.09475056421285821,0.20650795238412778
atmosphere,It was a hostile atmosphere.,It was a gaseous atmosphere.,False,Polysemy,hostile,gaseous,M1_b_M2_a,N,1.538461538,2.0,0.461538462,13,0.877058019,0.252422631,0.092967808,0.243252128,M1_b,M2_a,2,2,0.0800249655489651,0.15983194958319413
atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,False,Polysemy,hostile,polluted,M1_b_M2_b,N,2.181818182,2.0,0.181818182,11,0.873862898,0.126936376,0.052345157,0.263479577,M1_b,M2_b,3,3,0.07639951955300484,0.20650795238412778
atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,True,Polysemy,tense,hostile,M1_a_M1_b,N,4.0,4.0,0.0,11,0.0,0.129758179,0.037254393,0.0,M1_a,M1_b,3,3,0.05092225862825894,0.05882352941176461
atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,True,Polysemy,gaseous,polluted,M2_a_M2_b,N,3.466666667,4.0,0.533333333,15,0.639940473,0.199588358,0.037874043,0.16523192,M2_a,M2_b,3,3,0.05843939228758044,0.03703703703703698
bail,He bailed out the prisoner.,He bailed out the water.,False,Homonymy,prisoner,water,M1_a_M2_a,V,0.894736842,1.0,0.105263158,19,1.100239208,0.294229746,0.079534769,0.252412185,M1_a,M2_a,2,2,0.0812251109335802,0.07586229322177063
bail,He bailed out the prisoner.,He bailed out the liquid.,False,Homonymy,prisoner,liquid,M1_a_M2_b,V,0.666666667,1.0,0.333333333,9,0.707106781,0.287322104,0.099640667,0.23570226,M1_a,M2_b,2,2,0.03681303505914013,0.1224730910474432
bail,He bailed out the defendant.,He bailed out the water.,False,Homonymy,defendant,water,M1_b_M2_a,V,0.75,0.5,0.25,8,0.88640526,0.443184912,0.110985637,0.313391585,M1_b,M2_a,2,2,0.11330267082833867,0.08144134645630818
bail,He bailed out the defendant.,He bailed out the liquid.,False,Homonymy,defendant,liquid,M1_b_M2_b,V,0.764705882,1.0,0.235294118,17,0.752446989,0.42926693,0.120074809,0.182495201,M1_b,M2_b,2,2,0.10811981674482007,0.09546596626670922
bail,He bailed out the prisoner.,He bailed out the defendant.,True,Homonymy,prisoner,defendant,M1_a_M1_b,V,3.083333333,4.0,0.916666667,12,1.378954369,0.140995204,0.084383667,0.398069838,M1_a,M1_b,4,4,0.0579541199655591,0.029857499854668013
bail,He bailed out the water.,He bailed out the liquid.,True,Homonymy,water,liquid,M2_a_M2_b,V,3.083333333,3.5,0.416666667,12,1.083624669,0.126403391,0.065280318,0.312815497,M2_a,M2_b,4,4,0.031069748711654133,0.0357833206618936
band,It was a gold band.,It was a jazz band.,False,Homonymy,gold,jazz,M1_a_M2_a,N,0.2,0.0,0.2,10,0.421637021,0.449524701,0.073461235,0.133333333,M1_a,M2_a,2,2,0.10419572324675086,0.23841025519382197
band,It was a gold band.,It was a country band.,False,Homonymy,gold,country,M1_a_M2_b,N,0.384615385,0.0,0.384615385,13,0.506369684,0.455853581,0.076260746,0.140441681,M1_a,M2_b,2,2,0.10705948479190941,0.21751157478642513
band,It was a rubber band.,It was a jazz band.,False,Homonymy,rubber,jazz,M1_b_M2_a,N,0.333333333,0.0,0.333333333,12,0.651338947,0.482806385,0.080441296,0.188025358,M1_b,M2_a,2,2,0.12910799064920786,0.19400917367428305
band,It was a rubber band.,It was a country band.,False,Homonymy,rubber,country,M1_b_M2_b,N,0.1,0.0,0.1,10,0.316227766,0.484228253,0.089959681,0.1,M1_b,M2_b,2,2,0.13833688780420772,0.19972764926489583
band,It was a gold band.,It was a rubber band.,True,Homonymy,gold,rubber,M1_a_M1_b,N,2.526315789,3.0,0.473684211,19,1.218761715,0.250876188,0.045372784,0.279603113,M1_a,M1_b,2,2,0.05561280579275263,0.125957156166162
band,It was a jazz band.,It was a country band.,True,Homonymy,jazz,country,M2_a_M2_b,N,4.0,4.0,0.0,13,0.0,0.091263115,0.034426391,0.0,M2_a,M2_b,4,4,0.006711655119820414,0.006440875980475491
